file,strategy,equityFinal,sharpe,cagr,timestamp,sealOK,metaOK,integrityHash
omega-1761089424600.manifest.json,"Example Strategy (Baseline)",4959.92,-4.5857,-0.5226,2025-10-21T23:30:24.605Z,true,true,"74156c3a90a9c00c22623490e85819227386215be3dffb9ebb6fd5d7f9453752"
omega-1761089424608.manifest.json,"Example Strategy (Baseline)",5030.66,-4.6977,-0.5154,2025-10-21T23:30:24.613Z,true,true,"036615b65a46772cfe905cdbfac91ad4e6f5134eaaef7dc4bb9fc2b96468d427"
omega-1761089424615.manifest.json,"Example Strategy (Baseline)",4919.50,-4.8740,-0.5267,2025-10-21T23:30:24.620Z,true,true,"bea5a25948d06cfb1fbd8f38e0dc75c8ac7fea3ffcd716bb9d68ffe30c180f86"
omega-1761089424622.manifest.json,"Example Strategy (Baseline)",5267.94,-4.2233,-0.4913,2025-10-21T23:30:24.627Z,true,true,"078e33a8e563b5813764de5055943adac2efbc5c64b7dabb87dfa8c6794c3241"
omega-1761089424629.manifest.json,"Example Strategy (Baseline)",5113.45,-4.6370,-0.5070,2025-10-21T23:30:24.632Z,true,true,"dcdf1e6cb8b43bddf19d225008a286af437f4e717c002a854623fb1f8c8f14d2"
omega-1761089424635.manifest.json,"Example Strategy (Baseline)",5216.16,-4.5671,-0.4965,2025-10-21T23:30:24.638Z,true,true,"2acf6866d55ae4de7c6ad9c2065e12e2da9ffdf3a8e27172a28cfe8e6f31d833"
omega-1761089424640.manifest.json,"Example Strategy (Baseline)",4812.58,-4.6815,-0.5375,2025-10-21T23:30:24.645Z,true,true,"5a020a8418d75c9a623a1efdc6e957b7e7b514225d536c03c86f825c3cb5fbc2"
omega-1761089424647.manifest.json,"Example Strategy (Baseline)",5111.75,-4.7832,-0.5071,2025-10-21T23:30:24.651Z,true,true,"c7413f1f7304e21cbbb6d75a67f4cbc5449d841a9202741cee8f0757abadbb30"
omega-1761089424654.manifest.json,"Example Strategy (Baseline)",5147.91,-4.4404,-0.5035,2025-10-21T23:30:24.658Z,true,true,"c0dce803df7a42d3d712d0ec9e37a9535c31673883eff08f4714ccfc8cad9a64"
omega-1761089424660.manifest.json,"Example Strategy (Baseline)",4894.06,-4.9516,-0.5293,2025-10-21T23:30:24.664Z,true,true,"6b2194e5fdff886ba87b9c58f309dd1dd9f3d4f5b24e4a75bdd2ebc567ec02bb"
omega-1761089424666.manifest.json,"Example Strategy (Baseline)",5206.16,-4.3351,-0.4975,2025-10-21T23:30:24.670Z,true,true,"06d34e15679bde9361f4e3dd2dc2669ae489ac518b8e17a691b5c0e44f4f3ce5"
omega-1761089424672.manifest.json,"Example Strategy (Baseline)",5073.83,-4.8335,-0.5110,2025-10-21T23:30:24.676Z,true,true,"35190b0019718106a6dd9534cfdea9463226730ace0da8ef03a847178b8aaf36"
omega-1761089424678.manifest.json,"Example Strategy (Baseline)",5156.38,-4.3727,-0.5026,2025-10-21T23:30:24.682Z,true,true,"b28c89f76a426a8096ba378da0505443dd76cdf9930ebe65762bd4c1ebee2943"
omega-1761089424684.manifest.json,"Example Strategy (Baseline)",5143.50,-4.3636,-0.5039,2025-10-21T23:30:24.689Z,true,true,"1edf026a846ee122ebf49f8759421cab906f503a3dea05bb8b9d34edc81a163a"
omega-1761089424691.manifest.json,"Example Strategy (Baseline)",5084.89,-4.5965,-0.5099,2025-10-21T23:30:24.696Z,true,true,"50a3c1a4c8198d7d289df425c75a55ca7d3fc781075b640165f4ea6f43408113"
omega-1761089424698.manifest.json,"Example Strategy (Baseline)",4910.51,-4.8292,-0.5276,2025-10-21T23:30:24.703Z,true,true,"a75b601c9d1f2bedf20773d69a85fb862f5ca817e20459ed25758b42a4eb0cfb"
omega-1761089424705.manifest.json,"Example Strategy (Baseline)",4955.91,-4.7855,-0.5230,2025-10-21T23:30:24.709Z,true,true,"e8dca36ad285d75b7cf69681af9c4372625354b694ce6588d181b0087ded9e41"
omega-1761089424710.manifest.json,"Example Strategy (Baseline)",4702.89,-5.1682,-0.5486,2025-10-21T23:30:24.714Z,true,true,"a33455c805ab61d143def97dd32e9f62ea1f8bf1ddbda1d9a70c089de5919fcd"
omega-1761089424716.manifest.json,"Example Strategy (Baseline)",5125.44,-4.5759,-0.5058,2025-10-21T23:30:24.721Z,true,true,"1209f4c83592b650f5eac2741220e07eb6c1dde141b3b0dd6f67583e63952992"
