_source,_ts,strategy,params,Sharpe,CAGR,MaxDD,Trades,WinRate,AvgTrade,FeeBps,EquityFinal,RobustScore,Pass
2025-10-23T20-26-34-893Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-893Z,Example Strategy (Baseline),{},-4.759290634141001,-0.5175696040751514,0.5301727546316629,,,,,5009.16589,,
2025-10-23T20-26-34-900Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-900Z,Example Strategy (Baseline),{},-4.751289707955467,-0.5039001855464513,0.5096119046067401,,,,,5143.67873,,
2025-10-23T20-26-34-907Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-907Z,Example Strategy (Baseline),{},-4.907688726699498,-0.5356916853519931,0.5436883756701134,,,,,4830.53259,,
2025-10-23T20-26-34-916Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-916Z,Example Strategy (Baseline),{},-4.7461545584821385,-0.5242286666515763,0.5376006010796104,,,,,4943.56699,,
2025-10-23T20-26-34-923Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-923Z,Example Strategy (Baseline),{},-4.617764084100754,-0.5217033473636603,0.5376737885528368,,,,,4968.44963,,
2025-10-23T20-26-34-931Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-931Z,Example Strategy (Baseline),{},-4.519627714944535,-0.5032884792150922,0.5116429938583811,,,,,5149.69367,,
2025-10-23T20-26-34-939Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-939Z,Example Strategy (Baseline),{},-4.628676049265129,-0.5232634680482693,0.5303616978198861,,,,,4953.07815,,
2025-10-23T20-26-34-946Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-946Z,Example Strategy (Baseline),{},-4.497054964132449,-0.502314965799261,0.5164740757604735,,,,,5159.26549,,
2025-10-23T20-26-34-954Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-954Z,Example Strategy (Baseline),{},-4.660606233860228,-0.5037459756438571,0.5101187583667596,,,,,5145.19512,,
2025-10-23T20-26-34-961Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-961Z,Example Strategy (Baseline),{},-4.779523367913987,-0.5163425613760739,0.5286293098275825,,,,,5021.24846,,
2025-10-23T20-26-34-969Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-969Z,Example Strategy (Baseline),{},-4.587817981324575,-0.5085965879423335,0.5224185811045741,,,,,5097.48598,,
2025-10-23T20-26-34-977Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-977Z,Example Strategy (Baseline),{},-4.618495449889629,-0.5032040028934992,0.5172611799686958,,,,,5150.5243,,
2025-10-23T20-26-34-984Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-984Z,Example Strategy (Baseline),{},-3.8803087765804674,-0.454415941753599,0.48037638828931306,,,,,5629.06506,,
2025-10-23T20-26-34-991Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-991Z,Example Strategy (Baseline),{},-4.313756818660971,-0.4885037553640842,0.5122753348905175,,,,,5294.95754,,
2025-10-23T20-26-34-998Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-34-998Z,Example Strategy (Baseline),{},-4.371565744630998,-0.49134769304598136,0.505315125791051,,,,,5267.03211,,
2025-10-23T20-26-35-005Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-005Z,Example Strategy (Baseline),{},-4.330183325603076,-0.497019064386264,0.5231977040557951,,,,,5211.31921,,
2025-10-23T20-26-35-013Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-013Z,Example Strategy (Baseline),{},-4.900578197396988,-0.5402327501576847,0.5522631888361076,,,,,4785.71448,,
2025-10-23T20-26-35-020Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-020Z,Example Strategy (Baseline),{},-4.909092976571279,-0.5073720514246894,0.5221113858157622,,,,,5109.53243,,
2025-10-23T20-26-35-028Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-028Z,Example Strategy (Baseline),{},-4.3091767844104,-0.4972192489912991,0.5145830914339499,,,,,5209.3521,,
2025-10-23T20-26-35-035Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-035Z,Example Strategy (Baseline),{},-4.5857400883643376,-0.5225690507915668,0.5339416324219156,,,,,4959.92039,,
2025-10-23T20-26-35-043Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-043Z,Example Strategy (Baseline),{},-4.6977136981995224,-0.5153867932466345,0.520963257400471,,,,,5030.65872,,
2025-10-23T20-26-35-050Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-050Z,Example Strategy (Baseline),{},-4.8739652468201715,-0.5266707474741246,0.5345352885104399,,,,,4919.49804,,
2025-10-23T20-26-35-058Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-058Z,Example Strategy (Baseline),{},-4.223278154931579,-0.49125551789387445,0.5045006040576497,,,,,5267.93733,,
2025-10-23T20-26-35-065Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-065Z,Example Strategy (Baseline),{},-4.637022103977603,-0.5069733535762355,0.5204669324553536,,,,,5113.45431,,
2025-10-23T20-26-35-072Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-072Z,Example Strategy (Baseline),{},-4.567126540187086,-0.49652604427861746,0.5185523897784496,,,,,5216.16369,,
2025-10-23T20-26-35-079Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-079Z,Example Strategy (Baseline),{},-4.681491461650043,-0.53751138737632,0.5496829566004067,,,,,4812.57574,,
2025-10-23T20-26-35-087Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-087Z,Example Strategy (Baseline),{},-4.7831660330536705,-0.5071461448832916,0.5179094533137285,,,,,5111.75463,,
2025-10-23T20-26-35-095Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-095Z,Example Strategy (Baseline),{},-4.440378507956885,-0.5034695654015177,0.5230423149223146,,,,,5147.91308,,
2025-10-23T20-26-35-103Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-103Z,Example Strategy (Baseline),{},-4.95164437147408,-0.5292506926142546,0.53999810733029,,,,,4894.06335,,
2025-10-23T20-26-35-111Z_Example Strategy (Baseline)\auditoria.csv,2025-10-23T20-26-35-111Z,Example Strategy (Baseline),{},-4.335064750550491,-0.4975441164954052,0.5240915497057874,,,,,5206.15971,,
